,lon_fit,lat_fit,ele_fit,dist,slope,ante_slope,Date,EOS_no,VaisalaType,Flux_ave,CO2_ppm_ave,adjusted_ppm,AirTemp_c,WaterTemp_c,Total_hPa,Wetland,dist_ANTE,dist_GAVI,dist_COLM,dist_GAVItrib1,dist_GAVItrib2,air_pressure_atm,VaporPressure_atm,TotalAir_atm,Total_air_MolperL,CO2_air_MolesPerLiter,CO2_air_gCO2asCPerLiter,WaterTemp_K,KH_mol.L.atm,CO2_water_gCO2asCPerLiter,deltaCO2_gCO2asCperM3,Flux_gCO2asCperM2perDay,k_m.d,Sc,K600.effective
88411,-78.19791545,-0.343410411,3927.779235,783.6981769,0.039939406,0.037066866,7/7/2021,EOS_2,old,2.31,822.4166667,1235.398934,6.882,8.382,625.6834,COLM,NA,NA,783.6981769,NA,NA,0.617501526,0.009931309,0.607570216,0.026440596,1.08E-05,0.000130088,281.532,0.056288735,0.000834469,0.039648704,2.395008,60.40570711,1139.348087,83.23971049
94011,-78.19773368,-0.342970411,3928.951287,839.4878985,0.008339906,0.007520584,7/7/2021,EOS_1,new,0.485,467.3833333,521.9780406,6.879,8.232,625.5334,COLM,NA,NA,839.4878985,NA,NA,0.617353487,0.009929264,0.607424224,0.026434526,1.08E-05,0.000130058,281.382,0.056545117,0.000354184,0.012673222,0.502848,39.67799125,1149.74325,54.9255591
94111,-78.19773368,-0.342970411,3928.951287,839.4878985,0.008339906,0.007520584,7/7/2021,EOS_1,new,2.08,607.2137705,678.3084247,6.882,8.382,625.6834,COLM,NA,NA,839.4878985,NA,NA,0.617501526,0.009931309,0.607570216,0.026440596,1.08E-05,0.000130088,281.532,0.056288735,0.000458173,0.018467532,2.156544,116.7748898,1139.348087,160.9170472
98311,-78.19784387,-0.342620411,3929.159299,881.2324872,9.61E-05,9.61E-05,7/7/2021,EOS_2,old,2.45,839.4166667,1260.60684,6.881,8.282,625.6254,COLM,NA,NA,881.2324872,NA,NA,0.617444284,0.009930627,0.607513657,0.026438229,1.08E-05,0.000130076,281.432,0.056459497,0.000854079,0.040876825,2.54016,62.14181274,1146.266076,85.8916632
105911,-78.19860447,-0.342140411,3930.64017,981.8612559,0.038639099,0.03894929,7/7/2021,EOS_2,old,0.625,676.25,1015.396622,6.878,8.207,625.5544,COLM,NA,NA,981.8612559,NA,NA,0.617374213,0.009928582,0.607445631,0.026435552,1.08E-05,0.000130063,281.357,0.056587987,0.000689511,0.031658042,0.648,20.46873265,1151.486396,28.35598474
109311,-78.19879954,-0.341940411,3931.937034,1013.004991,0.047842445,0.051285418,7/7/2021,EOS_1,new,1.73,327.1853333,365.2639356,6.876,8.132,625.5954,COLM,NA,NA,1013.004991,NA,NA,0.617414677,0.009927218,0.607487459,0.026437561,1.08E-05,0.000130073,281.282,0.056716839,0.000248599,0.006722454,1.793664,266.8168631,1156.734114,370.4711733
111211,-78.19879791,-0.341780411,3933.003971,1032.28953,0.063707567,0.0692904,7/9/2021,EOS_1,NA,0.505,NA,NA,NA,NA,NA,COLM,NA,NA,1032.28953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523584,NA,NA,NA
114511,-78.19868222,-0.341540411,3935.445718,1064.362982,0.081860247,0.08133569,7/7/2021,EOS_2,old,2.47,559.3333333,839.4647629,6.875,8.082,625.6154,COLM,NA,NA,1064.362982,NA,NA,0.617434415,0.009926536,0.607507879,0.026438544,1.08E-05,0.000130078,281.232,0.056802942,0.000572209,0.025114352,2.560896,101.9694242,1160.247865,141.7978778
115711,-78.19878283,-0.341450411,3936.661953,1079.486938,0.079770889,0.085499268,7/9/2021,EOS_2,old,0.075,500.75,749.4332081,6.933,7.3305,626.0694,COLM,NA,NA,1079.486938,NA,NA,0.617882478,0.009966146,0.607916333,0.026450841,1.08E-05,0.000130138,280.4805,0.058116709,0.000522655,0.022811794,0.07776,3.408763093,1214.553224,4.849862985
120511,-78.19907918,-0.341160411,3940.960859,1127.08241,0.077922396,0.076929834,7/9/2021,EOS_1,NA,1.25,NA,NA,NA,NA,NA,COLM,NA,NA,1127.08241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.296,NA,NA,NA
125411,-78.19934683,-0.340800411,3944.615601,1178.970743,0.059701091,0.057695736,7/9/2021,EOS_2,old,0.16,588.0833333,880.5525389,6.9375,7.406,625.8254,COLM,NA,NA,1178.970743,NA,NA,0.617641669,0.009969225,0.607672444,0.026439805,1.08E-05,0.000130084,280.556,0.057983038,0.000612685,0.0279827,0.165888,5.928234134,1208.969299,8.415062747
130111,-78.19957917,-0.340520411,3946.810428,1221.276342,0.044480867,0.042767466,7/9/2021,EOS_1,NA,0.175,NA,NA,NA,NA,NA,COLM,NA,NA,1221.276342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18144,NA,NA,NA
135111,-78.19950772,-0.340090411,3948.605975,1271.189789,0.028011521,0.027148964,7/9/2021,EOS_2,old,-0.665,469.75,703.4926306,6.941,7.481,625.8904,COLM,NA,NA,1271.189789,NA,NA,0.617705819,0.00997162,0.607734199,0.026442161,1.08E-05,0.000130095,280.631,0.057850627,0.00048837,0.020726401,-0.689472,-33.26539838,1203.450964,-47.11197416
80102,-78.20227466,-0.330493313,4073.205639,7.022461933,0.056398835,0.055191869,6/23/2021,EOS_1,old,1.335,3189.736842,4815.361313,6.758526316,10.36076316,627.0081895,GAVItrib1,NA,NA,NA,7.022461933,NA,0.618808991,0.009847413,0.608961578,0.026512836,1.09E-05,0.000130443,283.5107632,0.053037314,0.003064726,0.155626476,1.384128,8.893910808,1012.066477,11.55105534
32651,-78.20217563,-0.330174813,4075.10571,45.33765416,0.041765456,0.033136846,6/23/2021,EOS_1,old,0.68,1541.947368,2325.489056,6.756,10.06775,627.0804,GAVItrib1,NA,NA,NA,45.33765416,NA,0.618880258,0.009845704,0.609034554,0.026516253,1.09E-05,0.00013046,283.21775,0.053503858,0.001493072,0.072904982,0.705024,9.67045028,1029.796772,12.66913122
5294,-78.20203173,-0.329971913,4075.916432,73.23018992,0.047826716,0.056682841,6/23/2021,EOS_1,old,1.34,1601.333333,2413.393861,6.756,9.87725,627.1734,GAVItrib1,NA,NA,NA,73.23018992,NA,0.618972042,0.009845704,0.609126338,0.026520249,1.09E-05,0.00013048,283.02725,0.053809901,0.001558374,0.076834844,1.389312,18.08179635,1041.526655,23.82325739
6983,-78.20192275,-0.329803013,4077.422521,95.78831176,0.078854523,0.080507452,6/23/2021,EOS_1,old,0.82,1711.410714,2576.966855,6.754535714,9.624517857,627.2868286,GAVItrib1,NA,NA,NA,95.78831176,NA,0.619083987,0.009844712,0.609239274,0.026525305,1.09E-05,0.000130504,282.7745179,0.054219267,0.001676655,0.083831149,0.850176,10.14152862,1057.338334,13.4627811
9201,-78.20193958,-0.329581213,4079.741435,120.8692088,0.03460998,0.024753817,6/23/2021,EOS_1,old,0.585,1280.857143,1927.115131,6.754,9.3875,627.3444,GAVItrib1,NA,NA,NA,120.8692088,NA,0.619140805,0.00984435,0.609296456,0.026527845,1.09E-05,0.000130517,282.5375,0.054606682,0.0012628,0.061830238,0.606528,9.809569299,1072.429103,13.11470753
10406,-78.20194027,-0.329460713,4080.116025,134.4009559,0.034896756,0.061786114,6/23/2021,EOS_1,old,1.015,2987.607143,4492.056998,6.755,9.226,627.5004,GAVItrib1,NA,NA,NA,134.4009559,NA,0.619294766,0.009845027,0.609449739,0.026534424,1.09E-05,0.000130549,282.376,0.054872621,0.002957891,0.155143659,1.052352,6.783080958,1082.858823,9.112494831
11839,-78.20184918,-0.329317413,4082.058608,153.5251608,0.223868422,0.317587748,6/23/2021,EOS_1,old,0.93,1258,1889.28477,6.754,8.904,627.6564,GAVItrib1,NA,NA,NA,153.5251608,NA,0.619448726,0.00984435,0.609604376,0.026541252,1.09E-05,0.000130583,282.054,0.055407642,0.00125617,0.062366112,0.964224,15.46070409,1104.014202,20.97205428
12915,-78.20173101,-0.329209813,4088.244061,171.3203835,0.308701102,0.209508102,6/29/2021,EOS_1,new,0.345,1350.39,1507.857497,7.255,8.94075,627.2314,GAVItrib1,NA,NA,NA,171.3203835,NA,0.619029283,0.010188594,0.608840689,0.02646064,1.08E-05,0.000130186,282.09075,0.055346255,0.001001451,0.048221246,0.357696,7.417809095,1101.575261,10.05095003
13944,-78.20162978,-0.329106913,4091.655974,187.414052,0.200250528,0.17197609,6/29/2021,EOS_1,new,1.15,4886.8135,5457.340428,7.2505,8.904125,627.0584,GAVItrib1,NA,NA,NA,187.414052,NA,0.618858545,0.010185455,0.60867309,0.02645378,1.08E-05,0.000130153,282.054125,0.055407433,0.003628527,0.19383593,1.19232,6.151181558,1104.005896,8.343890902
15220,-78.20158192,-0.328979313,4094.147599,202.8748647,0.191597339,0.327691128,6/29/2021,EOS_1,new,0.205,660.3868333,737.7313321,7.248,8.9405,626.8924,GAVItrib1,NA,NA,NA,202.8748647,NA,0.618694716,0.010183712,0.608511004,0.026446972,1.08E-05,0.000130119,282.0905,0.055346673,0.000489972,0.019916644,0.212544,10.67167762,1101.591831,14.45997111
16714,-78.20159759,-0.328829913,4098.724497,219.632534,0.139056931,0.088934339,6/29/2021,EOS_1,new,3.005,10000,11174.65238,7.248,8.9875,626.7674,GAVItrib1,NA,NA,NA,219.632534,NA,0.618571351,0.010183712,0.608387639,0.02644161,1.08E-05,0.000130093,282.1375,0.055268286,0.007411247,0.40241689,3.115584,7.742180002,1098.481812,10.47572464
18759,-78.20152703,-0.328625413,4101.086326,245.2138294,0.11525584,NA,6/29/2021,EOS_1,new,1.675,10000,11169.32765,7.235,8.83075,626.7744,GAVItrib1,NA,NA,NA,245.2138294,NA,0.618578259,0.010174651,0.608403608,0.02644353,1.08E-05,0.000130102,281.98075,0.05553025,0.007442827,0.406077416,1.73664,4.276622956,1108.894432,5.813938575
18760,-78.20152703,-0.328625413,4101.086326,245.2138294,0.11525584,NA,6/29/2021,EOS_1,new,1.26,2010.397333,2246.226689,7.2415,8.938875,626.7664,GAVItrib1,NA,NA,NA,245.2138294,NA,0.618570364,0.010179181,0.608391183,0.026442377,1.08E-05,0.000130096,282.088875,0.055349385,0.001491927,0.075376492,1.306368,17.33123902,1101.699543,23.48472999
46162,-78.20318554,-0.331215773,4063.573561,39.34314874,0.070251888,0.088654565,6/23/2021,EOS_1,old,2.28,924.7272727,1399.394496,6.786,11.2285,627.3194,GAVItrib2,NA,NA,NA,NA,39.34314874,0.619116132,0.009866027,0.609250106,0.026522795,1.09E-05,0.000130492,284.3785,0.051684875,0.00086793,0.038114402,2.363904,62.02128073,961.7196456,78.52163767
71414,-78.20316861,-0.330963273,4066.646854,67.51559707,0.100842473,0.076972014,6/23/2021,EOS_1,old,2.59,961.5535714,1456.226366,6.783,11.4305,627.1874,GAVItrib2,NA,NA,NA,NA,67.51559707,0.618985859,0.009863993,0.609121866,0.026517496,1.09E-05,0.000130466,284.5805,0.051376184,0.000897784,0.039421879,2.685312,68.11730072,950.4506925,85.73271956
97751,-78.2031338,-0.330699873,4068.707018,97.10436339,0.068013851,0.069629565,6/23/2021,EOS_1,old,0.5,1329.339286,2014.395629,6.780142857,11.56954464,627.0305429,GAVItrib2,NA,NA,NA,NA,97.10436339,0.618831053,0.009862056,0.608968997,0.026511112,1.09E-05,0.000130435,284.7195446,0.051165024,0.001236799,0.056607169,0.5184,9.157850641,942.790484,11.4795675
111661,-78.20310205,-0.330560773,4069.821719,112.9911594,0.071094566,0.071060709,6/23/2021,EOS_1,old,0.655,2277.490909,3450.182931,6.775,11.45275,626.9454,GAVItrib2,NA,NA,NA,NA,112.9911594,0.618747023,0.00985857,0.608888453,0.026508093,1.09E-05,0.00013042,284.60275,0.051342322,0.002125685,0.102441538,0.679104,6.629185878,949.2196287,8.33811588
